"%s was added to your shopping cart.","%s به سبد خریدتان افزوده شد."
"* Required Fields","* فیلدهای الزامی"
"Add New Address","افزودن آدرس جدید"
"Add New Condition","افزودن شرط جدید"
"Add to Cart","افزودن به سبد"
"Add to Compare","افزودن به مقایسه"
"Add to Wishlist","افزودن به لیست دلخواه"
"Address","آدرس"
"Address %s of %s","آدرس %s از %s"
"After Adding a Product Redirect to Shopping Cart","هدایت مجدد به سبد خرید پس از افزودن یک محصول"
"Allow Guest Checkout","اجازه‌ی تسویه‌ی مهمان"
"Already registered?","قبلا نام نویسی شده؟"
"An error occurred in the process of payment","رخ داد یک خطا در فرایند پرداخت"
"An error occurred while deleting this condition.","یک خطا در حین حذف این شرط رخ داد."
"An error occurred while saving this condition.","یک خطا در حین ذخیره‌ی این شرط رخ داد."
"Apply Coupon","اعمال کوپن"
"Are you sure you would like to remove this item from the shopping cart?","شما مطمئن‌اید که به برداشتن این آیتم از سبد خرید مایلید؟"
"Back","بازگشت"
"Back to Billing Information","بازگشت به اطلاعات صورت حساب"
"Back to Select Addresses","بازگشت به انتخاب آدرس‌ها"
"Back to Shipping Information","بازگشت به اطلاعات ارسال"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Based on your selection, you may be interested in the following items:","بر مبنای انتخاب‌تان، شما ممکن است به آیتم‌های زیر علاقمند باشید:"
"Billing Address","آدرس صورت حساب"
"Billing Information","اطلاعات صورت حساب"
"Billing Information - %s","اطلاعات صورت حساب - %s"
"Cancel Coupon","لغو کوپن"
"Cannot add item to the shopping cart.","نمی‌توان آیتمی را به سبد خرید افزود."
"Cannot add the item to shopping cart","نمی‌توان آیتم را به سبد خرید افزود"
"Cannot add the item to shopping cart.","نمی‌توان آیتم را به سبد خرید افزود."
"Cannot apply the coupon code.","نمی‌توان کد کوپن را اعمال کرد."
"Cannot open the overview page","نمی‌توان صفحه‌ی بازنگری را باز کرد"
"Cannot remove the item.","نمی‌توان این آیتم را برداشت."
"Cannot update shopping cart.","نمی‌توان سبد خرید را به روز کرد."
"Card Verification Number Visual Reference","ارجاع دیداری شماره‌ی امنیتی کارت"
"Cart Subtotal:","جمع جز سبد:"
"Change","تغییر"
"Change Billing Address","تغییر آدرس صورت حساب"
"Checkbox Text","متن چک‌باکس"
"Checkout","تسویه"
"Checkout Conditions","شرایط تسویه"
"Checkout Method","روش تسویه"
"Checkout Options","گزینه‌های تسویه"
"Checkout Section","بخش تسویه"
"Checkout Terms and Conditions","شرایط و ضوابط تسویه"
"Checkout as Guest","تسویه به عنوان مهمان"
"Checkout as a Guest or Register","تسویه‌ی مهمان یا نام نویسی"
"Checkout with Multiple Addresses","تسویه با چندین آدرس"
"City","شهر"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">اینجا را برای چاپ </a> یک کپی از تاییدیه‌ی سفارش‌تان کلیک کنید."
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Close","بستن"
"Company","شرکت"
"Condition Name","نام شرط"
"Configurable Product Image","تصویر محصول قابل پیکربندی"
"Confirm Password","تایید گذرواژه"
"Content","محتوا"
"Content Height","بلندی محتوا"
"Content Height (css)","بلندی محتوا (css)"
"Continue","ادامه"
"Continue Shopping","ادامه‌ی خرید"
"Continue to Billing Information","ادامه به اطلاعات صورت حساب"
"Continue to Review Your Order","ادامه به بازبینی سفارش‌تان"
"Continue to Shipping Information","ادامه به اطلاعات ارسال"
"Country","کشور"
"Coupon code ""%s"" is not valid.","کد کوپن "" %s"" معتبر نیست."
"Coupon code ""%s"" was applied.","کد کوپن "" %s"" اعمال شد."
"Coupon code was canceled.","کد کوپن لغو شد."
"Create Billing Address","ایجاد آدرس صورت حساب"
"Create Shipping Address","ایجاد آدرس ارسال"
"Data saving problem","مشکل ذخیره سازی داده"
"Default Billing","صورت حساب پیش فرض"
"Default Shipping","ارسال پیش فرض"
"Delete Condition","حذف شرط"
"Details","جزییات"
"Disabled","ناممکن‌شده"
"Discount Codes","کدهای تخفیف"
"Display Cart Summary","نمایش خلاصه‌ی سبد"
"Display Shopping Cart Sidebar","نمایش نوارکناری سبد خرید"
"Display item quantities","نمایش مقادیر آیتم"
"Display number of items in cart","نمایش تعداد آیتم‌ها در سبد"
"Easy access to your order history and status","دسترسی آسان به پیشینه و وضعیت سفارش‌تان"
"Edit","ویرایش"
"Edit Address","ویرایش آدرس"
"Edit Billing Address","ویرایش آدرس صورت حساب"
"Edit Items","ویرایش آیتم‌ها"
"Edit Shipping Address","ویرایش آدرس ارسال"
"Edit Terms and Conditions","ویرایش شرایط و ضوابط"
"Edit Your Cart","ویرایش سبدتان"
"Email Address","آدرس ایمیل"
"Enable Onepage Checkout","تسویه‌ی تک صفحه‌ای ممکن"
"Enable Terms and Conditions","شرایط و ضوابط ممکن"
"Enabled","ممکن‌شده"
"Enter a New Address","ثبت یک آدرس جدید"
"Enter your coupon code if you have one.","اگر کد کوپنی دارید، آن را وارد نمایید."
"Enter your destination to get a shipping estimate.","برای براورد هزینه‌ی ارسال، مقصدتان را وارد نمایید."
"Estimate Shipping and Tax","براورد ارسال و مالیات"
"Excl. Tax","بی مالیات"
"Fast and easy check out","تسویه‌ی سریع و آسان"
"Fax","فکس"
"Forgot an Item?","فراموشی یک آیتم؟"
"Forgot your password?","گذرواژه‌تان را فراموش کرده‌اید؟"
"Get a Quote","براورد هزینه"
"Grand Total:","جمع کل نهایی:"
"Grouped Product Image","تصویر محصول گروه شده"
"HTML","HTML"
"ID","شناسه"
"Incl. Tax","با مالیات"
"Invalid method: %s","روش نامعتبر: %s"
"Item not found or already ordered","آیتم یافت نشد یا پیش از این سفارش داده شده"
"Items","آیتم‌ها"
"Load customer quote error","خطای بارگذاری براورد هزینه‌ی مشتری"
"Loading next step...","بارگذاری مرحله‌ی بعدی..."
"Login","ورود"
"Manage Checkout Terms and Conditions","مدیریت شرایط و ضوابط تسویه"
"Maximum Display Recently Added Item(s)","بیشینه‌ی نمایش آیتم(های) اخیرا افزوده شده"
"Maximum qty allowed for Shipping to multiple addresses is %s","بیشینه تعداد مجاز برای ارسال به چندین آدرس %s است"
"Move to Wishlist","جابجایی به لیست دلخواه"
"Multishipping Checkout","تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Address (Any) Form","فرم (هر) آدرس تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Creation","ایجاد آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Edit Form","ویرایش فرم آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Selection","انتخاب آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Information Step","مرحله‌ی اطلاعات صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Customer Address Edit Form","ویرایش فرم آدرس مشتری تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Overview","بازنگری تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Creation","ایجاد آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Edit Form","ویرایش فرم آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Selection","انتخاب آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Information Step","مرحله‌ی اطلاعات ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Success","موفقیت تسویه‌ی چند ارسالی"
"My Cart","سبد من"
"My Cart (%s item)","سبد من (%s آیتم)"
"My Cart (%s items)","سبد من (%s آیتم)"
"My Cart Link","لینک سبد من"
"New Address","آدرس جدید"
"New Condition","شرط جدید"
"One Page Checkout","تسویه‌ی تک صفحه‌ای"
"One Page Checkout Failure","عدم موفقیت تسویه‌ی تک صفحه‌ای"
"One Page Checkout Success","موفقیت تسویه‌ی تک صفحه‌ای"
"Order #","شماره‌ی سفارش"
"Order Review","بازبینی سفارش"
"Order Success","موفقیت سفارش"
"Other Items in Your Order","آیتم‌های دیگر در سفارش‌تان"
"Password","گذرواژه"
"Payment Failed Email Reciever","گیرنده‌ی ایمیل پرداخت ناموفق"
"Payment Failed Email Sender","فرستنده‌ی ایمیل پرداخت ناموفق"
"Payment Failed Emails","ایمیل‌های پرداخت ناموفق"
"Payment Failed Template","قالب پرداخت ناموفق"
"Payment Information","اطلاعات پرداخت"
"Payment Method","روش پرداخت"
"Payment Methods After Checkout Button","روش‌های پرداخت پس از دکمه‌ی تسویه"
"Payment Methods Before Checkout Button","روش‌های پرداخت پیش از دکمه‌ی تسویه"
"Payment method is not defined","روش پرداخت تعریف نشده است"
"Payment profile # %s: ""%s"".","پروفایل پرداخت شماره‌ی %s: "" %s""."
"Place Order","سفارش دادن"
"Please agree to all Terms and Conditions before placing the order.","لطفا پیش از دادن سفارش با همه‌ی شرایط و ضوابط موافقت نمایید."
"Please agree to all Terms and Conditions before placing the orders.","لطفا پیش از دادن سفارش‌ها با همه‌ی شرایط و ضوابط موافقت نمایید."
"Please agree to all the terms and conditions before placing the order.","لطفا پیش از دادن سفارش با همه‌ی این شرایط و ضوابط موافقت نمایید."
"Please log in below:","لطفا از اینجا وارد شوید:"
"Please select region, state or province","لطفا منطقه، ایالت یا استان را انتخاب نمایید"
"Please select shipping address for applicable items","لطفا آدرس ارسال را برای آیتم‌های قابل اجرا انتخاب نمایید"
"Please select shipping methods for all addresses","لطفا روش‌های ارسال را برای همه‌ی آدرس‌ها انتخاب نمایید"
"Price","قیمت"
"Proceed to Checkout","اقدام به تسویه"
"Product","محصول"
"Product Name","نام محصول"
"Qty","تعداد"
"Quote Lifetime (days)","طول عمر براورد هزینه (روز)"
"Recently added item(s)","آیتم(های) اخیرا افزوده شده"
"Register","نام نویسی"
"Register and save time!","نام نویسی و صرفه جویی در زمان!"
"Register to Create an Account","نام نویسی برای ایجاد یک حساب"
"Register with us for future convenience:","برای راحتی در آینده نام نویسی کنید:"
"Remove Item","برداشتن آیتم"
"Remove This Item","برداشتن این آیتم"
"Remove item","برداشتن آیتم"
"Review Order","بازبینی سفارش"
"Review Order - %s","بازبینی سفارش - %s"
"Sales","فروش‌ها"
"Save Condition","ذخیره‌ی شرط"
"Save in address book","ذخیره در کتاب آدرس"
"Select Address","انتخاب آدرس"
"Select Addresses","انتخاب آدرس‌ها"
"Select Shipping Method","انتخاب روش ارسال"
"Select State/Province...","انتخاب ایالت/استان..."
"Select a billing address from your address book or enter a new address.","یک آدرس صورت حساب از کتاب آدرس‌تان انتخاب نمایید یا یک آدرس جدید وارد کنید."
"Select a shipping address from your address book or enter a new address.","یک آدرس ارسال از کتاب آدرس‌تان انتخاب نمایید یا یک آدرس جدید وارد کنید."
"Send Payment Failed Email Copy Method","روش فرستادن کپی ایمیل پرداخت ناموفق"
"Send Payment Failed Email Copy To","فرستادن کپی ایمیل پرداخت ناموفق به"
"Send To","ارسال به"
"Separate by "","".","جداکردن با "",""."
"Ship to Multiple Addresses","ارسال به چندین آدرس"
"Ship to different address","ارسال به آدرس متفاوت"
"Ship to this address","ارسال به این آدرس"
"Shipping Address","آدرس ارسال"
"Shipping Information","اطلاعات ارسال"
"Shipping Method","روش ارسال"
"Shipping Methods","روش‌های ارسال"
"Shipping To","ارسال به"
"Shipping method has not been selected yet","روش ارسال هنوز انتخاب نشده است"
"Shipping selection is not applicable.","انتخاب ارسال اجرا شدنی نیست."
"Shopping Cart","سبد خرید"
"Shopping Cart Form Before","فرم سبد خرید پیش از"
"Shopping Cart Sidebar","نوارکناری سبد خرید"
"Shopping Cart is Empty","سبد خرید خالی است"
"Show Content as","نمایش محتوا به عنوان"
"Some of the requested products are not available in the desired quantity.","برخی از محصولات درخواستی در تعداد خواسته شده موجود نیستند."
"Some of the requested products are unavailable.","برخی از محصولات درخواستی ناموجوداند."
"Sorry, no quotes are available for this order at this time.","با عرض پوزش، براوردهای هزینه‌ای برای این سفارش در این زمان موجود نیستند."
"State/Province","ایالت/استان"
"Status","وضعیت"
"Store View","نمای فروشگاه"
"Street Address","آدرس خیابان"
"Street Address %s","آدرس خیابان %s"
"Submitting order information...","ارایه‌ی اطلاعات سفارش..."
"Subtotal","جمع جز"
"Telephone","تلفن"
"Terms and Conditions","شرایط و ضوابط"
"Terms and Conditions Information","اطلاعات شرایط و ضوابط"
"Terms and conditions","شرایط و ضوابط"
"Text","متن"
"Thank you for your purchase!","از شما برای خریدتان سپاس گذاریم!"
"The condition has been deleted","شرط پاک شد"
"The condition has been saved.","شرط ذخیره شد."
"The onepage checkout is disabled.","تسویه‌ی تک صفحه‌ای ناممکن شده است."
"The product could not be found.","محصول یافت نشد."
"The product does not exist.","محصول وجود ندارد."
"There are <a href=""%s"">%s items</a> in your cart.","<a href=""%s"">%s آیتم </a> در سبد خریدتان وجود دارند."
"There is <a href=""%s"">1 item</a> in your cart.","<a href=""%s"">1 آیتم</a> در سبد خریدتان وجود دارد."
"There was an error processing your order. Please contact us or try again later.","یک خطا در فرایند پردازش سفارش‌تان وجود داشت. لطفا با ما تماس بگیرید با بعدا دوباره سعی نمایید."
"This condition no longer exists.","این شرط دیگر وجود ندارد."
"Total","مجموع"
"Total for this address","مجموع برای این آدرس"
"Unable to set Payment Method.","ناتوان در تنظیم روش پرداخت."
"Unit Price","قیمت واحد"
"Update Qty &amp; Addresses","به روز رسانی تعداد و آدرس‌ها"
"Update Shopping Cart","به روز رسانی سبد خرید"
"Update Total","به روز رسانی مجموع"
"Use Billing Address","استفاده از آدرس صورت حساب"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ما در حال پردازش سفارش‌تان هستیم و شما به زودی ایمیلی با جزییات سفارش دریافت خواهید کرد. همین که سفارش ارسال شد، شما ایمیل دیگری حاوی لینکی برای پیگری فرایند ارسال دریافت خواهید نمود."
"You have no items in your shopping cart.","شما هیچ آیتمی در سبد خریدتان ندارید."
"You will receive an order confirmation email with details of your order and a link to track its progress.","شما یک ایمیل تاییدیه‌ی سفارش با جزییات سفارش‌تان و یک لینک برای پیگری فرایند آن دریافت خواهید کرد."
"Your Checkout Progress","پیشرفت تسویه‌تان"
"Your billing agreement # is: %s.","شماره‌ی قرارداد صدور صورت حساب‌تان هست: %s."
"Your order # is: %s.","شماره‌ی سفارش‌تان هست: %s."
"Your order has been received","سفارش‌تان دریافت گردید"
"Your order number is ","شماره‌ی سفارش‌تان هست "
"Your recurring payment profiles:","پروفایل‌های پرداخت مکررتان:"
"Zip/Postal Code","کد پستی"
"osCommerce Orders","سفارش‌های osCommerce"
