"(Make sure you keep it in a safe place.)","(اطمینان حاصل کنید که آن را در محل امنی حفظ می‌کنید.)"
"(Optional. Leave blank for no prefix)","(اختیاری. برای بدون پیش‌وند خالی بگذارید)"
"(ver. %s)","(نسخه‌ی %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","مسیر اضافی اضافه شده پس از URL مبنا برای دسترسی‌یتان به پنل اجرایی (مثال: admin, backend, control و...). "
"Admin Path","مسیر مدیر"
"After successfull installation please click the button below.","پس از نصب موفق لطفا دکمه‌ی زیر را کلیک کنید."
"All packages were installed, click 'OK' to continue with installation.","همه‌ی بسته‌ها نصب شدند، برای ادامه‌ی نصب 'OK' را کلیک کنید."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","شما می‌توانید متناوبا روش ‘دانلودها و به روز رسانی دستی’ را امتحان کنید."
"Base URL","URL مبنا"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","پیش از آن که به فروشگاه‌تان بروید، لطفا از کلید رمزنگاری‌یتان یادداشت بر دارید (مجنتو آن را برای رمزنگاری گذرواژه‌ها، کارت‌های اعتباری و... به کار می‌برد)."
"Check out our","‌مان را بررسی کنید"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","تنها اگر معتبرسازی خودکار URL منبع ممکن نیست این باکس را علامت بزنید، برای مثال اگر تصدیق HTTP لازم است."
"Check this box only if it is not possible to automatically validate the Base URL.","تنها اگر معتبرسازی خودکار URL مبنا ممکن نیست این باکس را علامت بزنید."
"Choose this if you would like to test frontend and backend functionality.","اگر شما مایلید قابلیت فرانت‌اند و بک‌اند را تست کنید این را انتخاب کنید."
"Configuration","پیکربندی"
"Confirm Password","تایید گذرواژه"
"Connection","اتصال"
"Continue","ادامه"
"Continue After Manual Download","ادامه پس از دانلود دستی"
"Continue Full Download / SVN Installation","ادامه‌ی دانلود کامل / نصب SVN"
"Create Admin Account","ایجاد حساب مدیر"
"Currently this is the most stable state available for Magento packages.","در حال حاضر این پایدارترین حالت موجود برای بسته‌های مجنتو است."
"Database","پایگاه‌داده"
"Database Connection","اتصال پایگاه‌داده"
"Database Name","نام پایگاه‌داده"
"Database connection error.","خطای اتصال پایگاه‌داده."
"Database host","میزبان پایگاه‌داده"
"Database server does not support the InnoDB storage engine.","سرور پایگاه‌داده از موتور ذخیره سازی InnoDB پشتیبانی نمی‌کند."
"Database user name","نام کاربری پایگاه‌داده"
"Database user password","گذرواژه‌ی کاربری پایگاه‌داده"
"Default Currency","ارز پیش فرض"
"Download","دانلود"
"Download Magento Core Modules and Updates","دانلود ماژول‌ها و به روز رسانی‌های Magento Core"
"Downloading and installing Magento, please wait...","در حال دانلود و نصب مجنتو، لطفا صبر نمایید..."
"Email","ایمیل"
"Email Address","آدرس ایمیل"
"Enable this option only if you have SSL available.","این گزینه را تنها اگر شما SSL موجود دارید ممکن کنید."
"Encryption Key","کلید رمزنگاری"
"File System","سیستم فایل"
"First Name","نام کوچک"
"Full Download / SVN Installation","دانلود کامل / نصب SVN"
"Get ready to experience Open-Source eCommerce Evolved.","آماده برای تجربه‌ی تجارت الکترونیک متن باز تکامل یافته."
"Go to Backend","برو به بک‌اند"
"Go to Frontend","برو به فرانت‌اند"
"Having trouble installing Magento?","در نصب مجنتو مشکل دارید؟"
"Help Us to Keep Magento Healthy","به ما در سالم نگه داشتن مجنتو کمک کنید"
"Host","میزبان"
"I agree to the above terms and conditions.","من با شرایط و ضوابط فوق موافقم."
"If you are a developer and would like to have the latest public updates, choose this option.","اگر شما یک گسترش دهند هستید و مایل به داشتن آخرین به روز رسانی‌های عمومی هستید، این گزینه را انتخاب نمایید."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","اگر شما در حال اجرای PHP به عنوان یک CGI هستید، ممکن است پردازش‌های PHP شما تحت کاربر یکسان با کاربری که هنگام آپلود فایل‌های مجنتو استفاده کرده‌اید اجرا شوند."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","اگر شما در حال اجرای ویزارد نصب بر روی یک نصب مجنتوی دانلود شده و نصب شده‌ی پیشین هستید، با این روش اقدام کنید."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","اگر شما نمی‌خواهید یا قادر به داشتن پوشه‌های قابل نوشتن مجنتو برای فرایند وب نیستید، شما می‌توانید PEAR قابل اجرا و قرارگرفته شده در ریشه‌ی نصب مجنتو را به کار ببرید."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","اگر شما بسته‌ی کامل یا مجنتوی نصب شده از طریق SVN را دانلود کرده‌اید، باید با کلیک دکمه‌ی زیر از نصب و ارزیابی بسته‌ها رد شوید."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","اگر می‌خواهید از طریق رابط مدیر وب بسته‌های مجنتو را مدیریت کنید، شما به مجوزهای قابل نوشتن وب که برای همه‌ی فایل‌ها و پوشه‌های مجنتو اعمال شده نیاز خواهید داشت."
"If your server is running on MS Windows, most probably you will not need to change anything.","اگر سرور شما بر روی ویندوز مایکروسافت اجرا می‌شود، به احتمال بسیار زیاد شما نیاز به تغییر هیچ چیز نخواهید داشت."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","در موارد دیگر شما نیاز خواهید داشت فایل‌های مجنتو را برای کاربری که فرایند سرور وب تحت آن اجرا می‌شود قابل نوشتن کنید."
"Installation","نصب"
"Installation Guide","راهنمای نصب"
"Last Name","نام خانوادگی"
"License Agreement","توافق نامه‌ی مجوز"
"Locale","محلی"
"Locale settings","تنظیمات محلی"
"Localization","محلی سازی"
"Login Information","اطلاعات ورود"
"Magento","مجنتو"
"Magento Installation Wizard","ویزارد نصب مجنتو"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.<br /><div style='direction:rtl;'>ترجمه‌ی فارسی مجنتو توسط <a href='http://www.codnitive.com/' target='_blank'>&trade;CODNITIVE</a></div>"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","مجنتو از این کلید برای رمزگذاری گذرواژه‌ها، کارت‌های اعتباری و غیره استفاده می‌کند. اگر این فیلد خالی گذاشته شود سیستم یک کلید رمزنگاری برای شما خواهد ساخت و آن را در صفحه‌ی بعد نمایش خواهد داد."
"Manual Downloads and Upgrades","دانلودها و ارتقاهای دستی"
"One of PHP Extensions ""%s"" must be loaded.","یکی از ""%s"" اکستنشن‌های PHP باید بارگذاری شده باشد."
"PHP Extension '%s' loaded","'%s' اکستنشن PHP لود شد"
"PHP extension ""%s"" must be loaded.","""%s""  اکستنشن PHP باید لود شده باشد."
"Package Management through the Web","مدیریت بسته از طریق وب"
"Password","گذرواژه"
"Password Confirmation","تایید گذرواژه"
"Path ""%s"" must be writable.","مسیر ""%s"" باید قابل نوشتن باشد."
"Personal Information","اطلاعات شخصی"
"Please correct the user data and try again.","لطفا داده‌ی کاربر را تصحیح و دوباره سعی نمایید."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","لطفا اطمینان حاصل نمایید که <code>mod_rewrite</code> در پیکربندی Apache ممکن شده است."
"Please note that it is much less stable than beta.","لطفا توجه نمایید که آن بسیار ناپایدارتر از بتا است."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","لطفا توجه نمایید که در حال حاضر تنها شل‌های UNIX، Linux و Mac OS X پشتیبانی شده‌اند. برای Windows گزینه‌ی '%s' را به کار ببرید."
"Please set all required settings before clicking Continue","لطفا پیش از این که ادامه را کلیک کنیدهمه‌ی تنظیمات لازم را انجام دهید"
"Preferred stability: %s","پایداری ترجیجی: %s"
"Proceed With Automatic Download (%s)","ادامه با دانلود خودکار (%s)"
"Provide a complete base URL for SSL connection. For example: %s","برای اتصال SSL یک URL مبنای کامل ارایه کنید. برای مثال: %s"
"Report All Bugs","گزارش همه‌ی باگ‌ها"
"Required Fields","فیلدهای الزامی"
"Run admin interface with SSL","رابط مدیر را با SSL اجرا کن"
"Run this in your shell from Magento root folder:","برای پوشه‌ی ریشه‌ی مجنتو این را در شل‌تان اجرا کنید:"
"Save Session Data In","ذخیره‌ی داده‌های نشست در"
"Save Session Files In","ذخیره‌ی فایل‌های نشست در"
"Secure Base URL","URL مبنای امن"
"Session Storage Options","گزینه‌های ذخیره سازی نشست"
"Setting preferred state to: %s","تنظیم حالت ارجح به: %s"
"Skip Base URL Validation Before the Next Step","رد شدن از اعتبارسنجی URL مبنا پیش از مرحله‌ی بعد"
"Skip Secure URL validation before next step","رد شدن از اعتبارسنجی URL امن پیش از مرحله‌ی بعد"
"Tables Prefix","پیشوند جداول"
"The URL ""%s"" is invalid.","URL ""%s"" نامعتبر است."
"The URL ""%s"" is not accessible.","URL ""%s"" در دسترس نیست."
"The database server version does not match system requirements (required: %s, actual: %s).","نسخه‌ی سرور پایگاه‌داده مطابق الزامات سیستم نیست (الزامی: %s، فعلی: %s)."
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","پیشوند جدول باید تنها شامل حروف (a-z)، اعداد (0-9) یا زیرخط (_) باشد، اولین کاراکتر باید یک حرف باشد."
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","یک مشکل در نصب بسته‌های مجنتو وجود داشت. لطفا گزارش را خوانده، خطاها را تصحیح کرده و دوباره سعی نمایید."
"This URL is invalid.","این URL نامعتبر است."
"Time Zone","منطقه‌ی زمانی"
"Use Secure URLs (SSL)","استفاده از URLهای امن (SSL)"
"Use Web Server (Apache) Rewrites","استفاده از بازنویسی‌های سرور وب (Apache)"
"User Name","نام کاربر"
"User Password","گذرواژه‌ی کاربر"
"Username","نام کاربری"
"Validation","اعتبار"
"Web access options","گزینه‌های دسترسی وب"
"Welcome","خوش آمدید"
"Welcome to Magento's Installation Wizard","به ویزارد نصب مجنتو خوش آمدید"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","شما می‌توانید پورت سرور را مشخص نمایید، مثال: localhost:3307<br />اگر شما از سوکت پیش فرض یونیکس استفاده نمی‌کنید، می‌توانید این جا آن را به جای میزبان مشخص کنید، مثال: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","شما توانستید این گزینه را جهت استفاده از قابلیت بازنویسی سرور وب برای بهبود بهینه‌سازی موتورهای جستجو ممکن کنید."
"You're All Set","همه چیز آماده است"
"You're All Set!","همه چیز آماده است!"
