"Abandoned Carts","سبدهای رها شده"
"Abandoned carts","سبدهای رها شده"
"Action","کـنـش"
"Add to Cart","افزودن به سبد"
"Add to Compare","افزودن به مقایسه"
"Add to Wishlist","افزودن به لیست دلخواه"
"Any","همه"
"Applied Coupon","کوپن اعمال شده"
"Applies to Any of the Specified Order Statuses","برای هر یک از وضعیت‌های سفارش مشخص شده اعمال می‌شود"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","شما مطمئن‌اید که می‌خواهید تمام آمارها تاکنون را رفرش کنید؟ می‌تواند تاثیر کارایی شدیدی در طی این عملکرد داشته باشد."
"Are you sure?","شما مطمئن‌اید؟"
"Avg. Approved Rating","میانگین امتیاز تایید شده"
"Avg. Rating","میانگین امتیاز"
"Bestsellers","پرفروش‌ها"
"Bought from wishlists","خریداری شده از لیست‌های دلخواه"
"CSV","CSV"
"Carts","سبدها"
"Compared Products Grid Template","قالب مشبک محصولات مقایسه شده"
"Compared Products List Template","قالب لیستی محصولات مقایسه شده"
"Coupons","کوپن‌ها"
"Coupons Usage Report","گزارش استفاده‌ی کوپن‌ها"
"Created At","ایجاد شده در"
"Current Month Starts","ماه جاری شروع می‌شود"
"Customer","مشتری"
"Customer Name","نام مشتری"
"Customer Tags","برچسب‌های مشتری"
"Customers","مشتریان"
"Customers Report","گزارش مشتریان"
"Customers Reviews","نظرات مشتریان"
"Customers Tags","برچسب‌های مشتریان"
"Customers by Number of Orders","مشتریان بر اساس تعداد سفارش‌ها"
"Customers by Orders Total","مشتریان بر اساس مجموع سفارش‌ها"
"Customers by number of orders","مشتریان بر اساس تعداد سفارش‌ها"
"Customers by orders total","مشتریان بر اساس مجموع سفارش‌ها"
"Customers that have wishlist: %s%","مشتریانی که لیست دلخواه دارند: %s%"
"Dashboard","داشبورد"
"Day","روز"
"Default Recently Compared Products Count","تعداد محصولات اخیرا مقایسه شده‌ی پیش فرض"
"Default Recently Viewed Products Count","تعداد محصولات اخیرا بازدید شده‌ی پیش فرض"
"Description","توصیف"
"Detail","جزییات"
"Downloads","دانلودها"
"Email","ایمیل"
"Empty Rows","سطرهای خالی"
"Excel","اکسل"
"Filter","فیلتر"
"First Name","نام کوچک"
"From","از"
"Guest","مهمان"
"Hits","بازدید"
"ID","شناسه"
"IP Address","آدرس IP"
"Index model name must be defined","نام مدل فهرست باید تعریف شده باشد"
"Invalid date specified.","تاریخ نامعتبر تعیین شده است."
"Invoiced","فاکتورشده"
"Items in Cart","آیتم‌های درون سبد"
"Last Name","نام خانوادگی"
"Last Review","آخرین بازبینی"
"Link","لینک"
"List of Products Recently Compared and Removed from the Compare List by Visitor","لیست محصولات اخیرا مقایسه شده و از لیست مقایسه برداشته شده توسط بازدید کننده"
"List of Products Recently Viewed by Visitor","لیست محصولات اخیرا مشاهده شده توسط بازدید کننده"
"Low Stock","موجودی کم"
"Low stock","موجودی کم"
"Match Period To","تطابق دوره با"
"Month","ماه"
"Most Viewed","بیشترین بازدید"
"Name","نام"
"New Accounts","حساب‌های جدید"
"No","خیر"
"No records found for this period.","رکوردی برای این دوره یافت نشد."
"Number Added","تعداد افزوده شده"
"Number Fulfilled","تعداد تکمیل شده"
"Number Of Reviews","تعداد نظرات"
"Number Purchased","تعداد خریداری شده"
"Number Viewed","تعداد مشاهده شده"
"Number of Items","تعداد آیتم‌ها"
"Number of New Accounts","تعداد حساب‌های جدید"
"Number of Products to display","تعداد محصولات برای نمایش"
"Number of Reviews","تعداد نظرات"
"Number of Times Deleted","تعداد دفعات حذف شده"
"Number of Total Tags","تعداد مجموع برچسب‌ها"
"Number of Unique Tags","تعداد برچسب‌های یکتا"
"Number of Views","تعداد مشاهدات"
"Number of items bought from a wishlist: %s","تعداد آیتم‌های خریداری شده از یک لیست دلخواه: %s"
"Number of times wishlists have been shared (emailed): %s","تعداد آیتم‌های لیست‌های دلخواه تسهیم شده (ایمیل شده): %s"
"Number of wishlist conversions: %s","تعداد تبدیل‌های لیست دلخواه: %s"
"Number of wishlist referrals: %s","تعداد مراجعات لیست دلخواه: %s"
"Number of wishlists: %s","تعداد لیست‌های دلخواه: %s"
"Order Status","وضعیت سفارش"
"Order Taxes Report Grouped by Tax Rate","گزارش مالیات‌های سفارش گروه بندی شده با نرخ مالیات"
"Orders","سفارش‌ها"
"Out of stock","ناموجود"
"Period","دوره"
"Poducts Report","گزارش محصولات"
"Popular Tags","برچسب‌های محبوب"
"Popularity","محبوبیت"
"Price","قیمت"
"Product Name","نام محصول"
"Product Reviews","نظرات محصول"
"Product SKU","کد کالای محصول"
"Product Tags","برچسب‌های محصول"
"Products","محصولات"
"Products Ordered","محصولات سفارش داده شده"
"Products Report","گزارش محصولات"
"Products Reviews","نظرات محصولات"
"Products Tags","برچسب‌های محصولات"
"Products in carts","محصولات درون سبدها"
"Purchases","خریدها"
"Quantity Ordered","تعداد سفارش داده شده"
"Quantity of Items","تعداد آیتم‌ها"
"Recently Compared","اخیرا مقایسه شده"
"Recently Compared Products","محصولات اخیرا مقایسه شده"
"Recently Viewed","اخیرا مشاهد شده"
"Recently Viewed Products","محصولات اخیرا مشاهد شده"
"Recently Viewed/Compared Products","محصولات اخیرا مشاهد/مقایسه شده"
"Refresh Lifetime Statistics","رفرش تمام آمارها تا کنون"
"Refresh Statistics","رفرش آمار"
"Refresh Statistics for the Last Day","رفرش آمار برای روز گذشته"
"Refunds","استردادها"
"Report","گزارش"
"Reports","گزارش‌ها"
"Results","نتایج"
"Revenue","درآمد"
"Review","نظر"
"Reviews","نظرات"
"Reviews for %s","نظرات برای %s"
"Sales","فروش‌ها"
"Sales Report","گزارش فروش‌ها"
"Search Query","جستار جستجو"
"Search Terms","عبارات جستجو"
"Select day of the month.","انتخاب روز ماه."
"Shipping","ارسال"
"Shopping Cart","سبد خرید"
"Show Actual Values","نمایش مقادیر فعلی"
"Show Report","نمایش گزارش"
"Show for Current","نمایش برای کنونی"
"Specified","تعیین شده"
"Statistics","آمار"
"Stock Qty","تعداد موجودی"
"Submitted In","ارایه شده در"
"Submitted On","ارایه شده بر"
"Subtotal","جمع جز"
"Tag","برچسب"
"Tag ""%s"" details","جزییات برچسب ""%s"""
"Tag Detail","شرح برچسب"
"Tag Name","نام برچسب"
"Tag Use","استفاده‌ی برچسب"
"Tags Submitted by %s","برچسب‌های ارایه شده توسط %s"
"Tags submitted to %s","برچسب‌های ارایه شده برای %s"
"Tax","مالیات"
"Title","عنوان"
"To","تا"
"Total","مجموع"
"Total Invoiced vs. Paid Report","مجموع فاکتور شده در برابر گزارش پرداخت"
"Total Ordered Report","گزارش مجموع سفارش داده شده"
"Total Refunded Report","گزارش مجموع مسترد"
"Total Shipped Report","گزارش مجموع ارسال شده"
"Total Tags","مجموع برچسب‌ها"
"Total invoiced","مجموع فاکتورشده"
"Total refunded","مجموع مسترد شده"
"Updated At","به روز شده در"
"Viewed Products Grid Template","قالب مشبک محصولات مشاهده شده"
"Viewed Products List Template","قالب لیستی محصولات مشاهده شده"
"Visible In","نمایان در"
"Wishlist Report","گزارش لیست دلخواه"
"Wishlist vs. Regular Order","لیست دلخواه در برابر سفارش عادی"
"Wishlists","لیست‌های دلخواه"
"Year","سال"
"Year-To-Date Starts","آغاز سال تا کنون شروع شد"
"Yes","بلی"
"Your Recently Compared","اخیرا مقایسه شده‌یتان"
"Your Recently Viewed","اخیرا مشاهده شده‌یتان"
"undefined","تعریف نشده"
